stock_code,description,total_revenue,units_sold,orders,customers
22423,REGENCY CAKESTAND 3 TIER,344563.25,27577,3918,1314
M,Manual,340716.28,10050,784,438
DOT,DOTCOM POSTAGE,322657.48,1436,1415,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262931.16,96086,5356,1490
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
47566,PARTY BUNTING,149187.05000000002,28378,2674,894
85099B,JUMBO BAG RED RETROSPOT,148823.92,78860,3245,860
84879,ASSORTED COLOUR BIRD ORNAMENT,132187.91999999998,81809,2807,1010
POST,POSTAGE,127597.42,5461,1851,405
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123141.54000000001,36581,2018,896
79321,CHILLI LIGHTS,85489.91,16840,1135,304
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92,32525,756,300
21137,BLACK RECORD COVER FRAME,69329.47,19954,634,198
85099F,JUMBO BAG STRAWBERRY,68488.81,37124,1830,549
23084,RABBIT NIGHT LIGHT,66964.99,30788,994,450
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63517.75,12462,1583,626
82484,WOOD BLACK BOARD ANT WHITE FINISH,62842.02,11054,1176,451
21931,JUMBO STORAGE BAG SUKI,62285.28,29503,2329,546
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61721.990000000005,19597,1427,701
22112,CHOCOLATE HOT WATER BOTTLE,60763.12,11556,1721,631
21621,VINTAGE UNION JACK BUNTING,60668.54,6945,1292,583
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60292.32,31249,1868,506
15056N,EDWARDIAN PARASOL NATURAL,58427.590000000004,11370,1033,347
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58275.45,27732,2192,658
22470,HEART OF WICKER LARGE,55898.87,18551,1952,827
22189,CREAM HEART CARD HOLDER,54598.73,18363,1299,536
22178,VICTORIAN GLASS HANGING T-LIGHT,53330.49,40748,1816,593
22111,SCOTTIE DOG HOT WATER BOTTLE,52192.310000000005,10218,1689,717
21623,VINTAGE UNION JACK MEMOBOARD,52122.729999999996,7200,530,311
21733,RED HANGING HEART T-LIGHT HOLDER,51556.97,17999,1760,744
22469,HEART OF WICKER SMALL,51127.759999999995,29037,2151,886
22386,JUMBO BAG PINK POLKADOT,50847.8,25627,1443,432
21929,JUMBO BAG PINK VINTAGE PAISLEY,50334.1,25954,1619,504
21843,RED RETROSPOT CAKE STAND,50016.439999999995,4772,1187,502
21731,RED TOADSTOOL LED NIGHT LIGHT,49539.689999999995,29715,1537,415
22457,NATURAL SLATE HEART CHALKBOARD,48671.05,15771,2046,874
21232,STRAWBERRY CERAMIC TRINKET BOX,48626.76,37610,2310,683
15056BL,EDWARDIAN PARASOL BLACK,48101.89,9646,857,321
21754,HOME BUILDING BLOCK WORD,48079.69,7847,2066,682
84029E,RED WOOLLY HOTTIE WHITE HEART.,47737.380000000005,11830,1145,500
21181,PLEASE ONE PERSON METAL SIGN,47133.55,23248,1632,562
20727,LUNCH BAG  BLACK SKULL.,46422.49,27126,2351,705
22138,BAKING SET 9 PIECE RETROSPOT,45966.16,9383,1914,1137
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44851.98,15624,1388,439
21915,RED  HARMONICA IN BOX,44808.8,38191,1025,467
82494L,WOODEN FRAME ANTIQUE WHITE,44796.9,15645,1973,631
22197,SMALL POPCORN HOLDER,44090.13,49948,1407,426
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,1129,328,151
21175,GIN + TONIC DIET METAL SIGN,43153.93,20407,1609,543
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,42961.62,14714,757,298
48138,DOORMAT UNION FLAG,42949.37,6395,991,467
22355,CHARLOTTE BAG SUKI DESIGN,42834.299999999996,28283,1403,344
20728,LUNCH BAG CARS BLUE,42784.74,24892,2067,702
23298,SPOTTY BUNTING,42548.130000000005,8327,1140,571
82482,WOODEN PICTURE FRAME WHITE FINISH,42546.58,17198,2006,601
20725,LUNCH BAG RED RETROSPOT,42135.88,22799,1837,605
20713,JUMBO BAG OWLS,41390.09,21199,1314,371
22328,ROUND SNACK BOXES SET OF 4 FRUITS,40260.46,14552,1154,400
22960,JAM MAKING SET WITH JARS,39694.56,9302,1159,583
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1
85066,CREAM SWEETHEART MINI CHEST,39428.65,3148,929,471
48194,DOORMAT HEARTS,39274.93,6139,1033,448
20726,LUNCH BAG WOODLAND,38949.729999999996,22341,1926,585
22629,SPACEBOY LUNCH BOX,38750.2,21223,1368,456
22699,ROSES REGENCY TEACUP AND SAUCER,38568.19,13129,1410,521
21166,COOK WITH WINE METAL SIGN,38560.16,20128,1425,475
23284,DOORMAT KEEP CALM AND COME IN,38166.64,5491,728,378
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38158.39,7493,1385,640
20712,JUMBO BAG WOODLAND ANIMALS,38029.89,17957,1415,387
22727,ALARM CLOCK BAKELIKE RED,37970.11,9595,1363,473
20685,DOORMAT RED RETROSPOT,36626.81,5227,900,416
21755,LOVE BUILDING BLOCK WORD,35641.990000000005,5774,1696,661
22379,RECYCLING BAG RETROSPOT,35408.96,16075,1570,423
21479,WHITE SKULL HOT WATER BOTTLE,34617.93,6872,930,410
21523,DOORMAT FANCY FONT HOME SWEET HOME,34608.01,5209,713,271
48185,DOORMAT FAIRY CAKE,34542.07,5131,597,219
22666,RECIPE BOX PANTRY YELLOW DESIGN,34489.05,10951,1657,701
22197,POPCORN HOLDER,34298.87,36761,803,295
48187,DOORMAT NEW ENGLAND,34041.03,5399,818,389
AMAZONFEE,AMAZON FEE,34009.13,4,3,0
22630,DOLLY GIRL LUNCH BOX,33980.0,18363,1333,423
22726,ALARM CLOCK BAKELIKE GREEN,33737.59,7954,1273,404
22865,HAND WARMER OWL DESIGN,33575.51,15557,1212,566
22382,LUNCH BAG SPACEBOY DESIGN,33413.79,19814,2108,774
22188,BLACK HEART CARD HOLDER,33201.0,12484,566,292
15036,ASSORTED COLOURS SILK FAN,33041.55,44365,991,303
82486,WOOD S/3 CABINET ANT WHITE FINISH,32852.96,4157,1072,320
22385,JUMBO BAG SPACEBOY DESIGN,32749.37,17227,1248,412
22077,6 RIBBONS RUSTIC CHARM,32213.589999999997,17569,1751,685
22622,BOX OF VINTAGE ALPHABET BLOCKS,32163.94,3242,571,346
85152,HAND OVER THE CHOCOLATE   SIGN,32064.760000000002,16645,1460,486
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32054.49,7343,1009,386
84946,ANTIQUE SILVER TEA GLASS ETCHED,31918.100000000002,23376,1080,413
22139,RETROSPOT TEA SET CERAMIC 11 PC,31853.870000000003,6225,1321,652
22659,LUNCH BOX I LOVE LONDON,31201.07,16868,1074,293
23245,SET OF 3 REGENCY CAKE TINS,31177.95,6357,873,472
22697,GREEN REGENCY TEACUP AND SAUCER,31062.420000000002,9938,1340,475
22501,PICNIC BASKET WICKER LARGE,30828.289999999997,2643,762,346
22752,SET 7 BABUSHKA NESTING BOXES,30804.75,3781,692,323
20679,EDWARDIAN PARASOL RED,30667.32,6259,715,271
22158,3 HEARTS HANGING DECORATION RUSTIC,30498.18,9443,718,374
23199,JUMBO BAG APPLES,30475.65,14920,978,344
22866,HAND WARMER SCOTTY DOG DESIGN,30426.54,13772,1083,530
82483,WOOD 2 DRAWER CABINET WHITE FINISH,30213.89,5103,1123,361
20725,LUNCH BAG RED SPOTTY,30156.97,18143,1219,499
21928,JUMBO BAG SCANDINAVIAN PAISLEY,29849.79,16366,880,333
47590B,PINK HAPPY BIRTHDAY BUNTING,29587.43,5778,872,428
22867,HAND WARMER BIRD DESIGN,29541.020000000004,13453,1054,521
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29503.920000000002,10718,883,357
22467,GUMBALL COAT RACK,29139.100000000002,12298,1095,398
20971,PINK BLUE FELT CRAFT TRINKET BOX,29027.46,22629,1148,490
21212,PACK OF 72 RETROSPOT CAKE CASES,28927.920000000002,49805,1708,772
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003,5841,782,474
84978,HANGING HEART JAR T-LIGHT HOLDER,28734.82,21903,1425,525
22835,HOT WATER BOTTLE I AM SO POORLY,28659.98,5566,1011,451
82583,HOT BATHS METAL SIGN,28496.81,13090,1176,323
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28490.98,56794,1993,767
20719,WOODLAND CHARLOTTE BAG,28287.32,24945,1573,365
22492,MINI PAINT SET VINTAGE,28284.79,44405,714,356
22961,JAM MAKING SET PRINTED,28242.89,18086,1200,558
22624,IVORY KITCHEN SCALES,28227.77,3258,1219,579
21930,JUMBO STORAGE BAG SKULLS,27923.57,13657,1321,386
72741,GRAND CHOCOLATECANDLE,27915.129999999997,20178,920,510
23201,JUMBO BAG ALPHABET,27890.170000000002,13379,906,396
84991,60 TEATIME FAIRY CAKE CASES,27404.22,54716,2127,822
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27061.58,9828,756,444
21481,FAWN BLUE HOT WATER BOTTLE,26988.98,8557,1050,439
21485,RETROSPOT HEART HOT WATER BOTTLE,26979.04,5460,930,502
22149,FELTCRAFT 6 FLOWER FRIENDS,26855.260000000002,12922,1382,684
22507,MEMO BOARD RETROSPOT  DESIGN,26626.56,5694,900,445
22551,PLASTERS IN TIN SPACEBOY,26485.1,15779,1299,616
22386,JUMBO BAG PINK WITH WHITE SPOTS,26264.11,14213,802,358
20711,JUMBO BAG TOYS,26186.9,12838,1052,326
47566B,TEA TIME PARTY BUNTING,25987.9,5838,761,350
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25887.350000000002,13105,613,325
22090,PAPER BUNTING RETROSPOT,25807.36,8512,920,374
22087,PAPER BUNTING WHITE LACE,25563.170000000002,8532,847,314
22084,PAPER CHAIN KIT EMPIRE,25480.38,8879,811,464
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25475.050000000003,40839,1259,524
37503,TEA TIME CAKE STAND IN GIFT BOX,25471.329999999998,2469,522,256
20724,RED RETROSPOT CHARLOTTE BAG,25332.739999999998,20916,1255,390
21314,SMALL GLASS HEART TRINKET POT,25276.95,11658,1066,369
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25259.899999999998,110138,1019,482
20972,PINK CREAM FELT CRAFT TRINKET BOX,25151.84,20761,1397,568
85099B,JUMBO BAG RED WHITE SPOTTY,25065.07,14071,534,321
22090,PAPER BUNTING RETRO SPOTS,24945.74,8296,783,367
23173,REGENCY TEAPOT ROSES,24918.93,2770,416,248
22728,ALARM CLOCK BAKELIKE PINK,24907.27,6374,969,357
71459,HANGING JAM JAR T-LIGHT HOLDER,24894.46,30764,925,421
48138,DOOR MAT UNION FLAG,24808.26,3780,673,389
84836,ZINC METAL HEART DECORATION,24805.670000000002,20251,1408,662
21231,SWEETHEART CERAMIC TRINKET BOX,24618.13,19767,1482,500
47590A,BLUE HAPPY BIRTHDAY BUNTING,24559.230000000003,4829,689,355
23203,JUMBO BAG VINTAGE DOILY,24522.36,11464,711,363
22383,LUNCH BAG SUKI  DESIGN,24520.35,14719,1279,463
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24507.36,5984,835,394
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,24249.96,3202,661,269
21258,VICTORIAN SEWING BOX LARGE,24153.59,1692,526,186
22698,PINK REGENCY TEACUP AND SAUCER,24105.670000000002,8088,1024,400
21790,VINTAGE SNAP CARDS,24095.6,27942,1888,793
21212,PACK OF 72 RETRO SPOT CAKE CASES,24069.280000000002,46755,1410,632
22625,RED KITCHEN SCALES,24045.030000000002,2743,950,440
21791,VINTAGE HEADS AND TAILS CARD GAME,23993.23,18585,1313,641
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23911.390000000003,8261,1147,442
84406B,CREAM CUPID HEARTS COAT HANGER,23820.8,7384,841,318
23344,JUMBO BAG 50'S CHRISTMAS,23815.75,10306,716,391
22605,WOODEN CROQUET GARDEN SET,23743.77,1846,642,377
82600,NO SINGING METAL SIGN,23573.440000000002,11683,1152,375
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.170000000002,4805,470,275
22554,PLASTERS IN TIN WOODLAND ANIMALS,23329.359999999997,13854,1275,587
22113,GREY HEART HOT WATER BOTTLE,23172.82,6059,996,488
22607,WOODEN ROUNDERS GARDEN SET,23139.3,2556,744,419
22585,PACK OF 6 BIRDY GIFT TAGS,22903.920000000002,18333,1084,612
20749,ASSORTED COLOUR MINI CASES,22806.51,3156,766,426
37449,CERAMIC CAKE STAND + HANGING CAKES,22702.46,2418,477,205
22556,PLASTERS IN TIN CIRCUS PARADE,22694.129999999997,13797,1196,591
22941,CHRISTMAS LIGHTS 10 REINDEER,22645.32,2710,483,315
22969,HOMEMADE JAM SCENTED CANDLES,22459.25,15087,709,472
84970S,HANGING HEART ZINC T-LIGHT HOLDER,22132.18,26844,1425,616
21524,DOORMAT SPOTTY HOME SWEET HOME,22118.44,2903,744,355
22499,WOODEN UNION JACK BUNTING,21910.640000000003,3597,774,452
22502,PICNIC BASKET WICKER SMALL,21891.170000000002,3808,922,335
22456,NATURAL SLATE CHALKBOARD LARGE,21883.98,4462,835,385
23202,JUMBO BAG VINTAGE LEAF,21852.81,10962,879,377
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21826.9,2755,517,309
48184,DOORMAT ENGLISH ROSE,21766.33,3293,526,268
21213,PACK OF 72 SKULL CAKE CASES,21734.850000000002,40733,1481,528
22570,FELTCRAFT CUSHION RABBIT,21579.79,5805,807,351
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21345.59,4447,771,465
22424,ENAMEL BREAD BIN CREAM,21305.96,1560,739,310
22294,HEART FILIGREE DOVE  SMALL,21217.02,17127,861,414
22617,BAKING SET SPACEBOY DESIGN,21162.89,4389,942,600
22083,PAPER CHAIN KIT RETRO SPOT,21160.64,7582,591,324
21218,RED SPOTTY BISCUIT TIN,21102.06,5305,897,313
22568,FELTCRAFT CUSHION OWL,21056.5,5692,875,389
22569,FELTCRAFT CUSHION BUTTERFLY,20924.96,5731,784,360
23206,LUNCH BAG APPLE DESIGN,20911.98,12183,1036,401
20723,STRAWBERRY CHARLOTTE BAG,20677.62,18485,1379,356
85150,LADIES & GENTLEMEN METAL SIGN,20668.23,8519,1110,369
